Kode trayek,Asal dan tujuan trayek,Rata-rata waktu perjalanan trayek (menit),Jumlah angkutan beroperasi,Jumlah angkutan lulus uji KIR,Jumlah angkutan tertib administrasi,Jumlah angkutan berizin,Frekuensi,Headway (menit),Waktu tunggu (menit),Kapasitas penumpang,Realisasi jumlah penumpang,Load factor
UBB,Ujung Baru - Bratang PP,72,5,0,0,0,2,28.1947619,14.09738095,12,3.6108,30.09
UBK,Ujung Baru - Kenjeran PP,85,14,0,0,0,2,20.34142857,10.17071429,12,3.0636,25.53
BK,Bangkingan - Karang Pilang PP,51,5,4,4,4,1,28.94761905,14.47380952,12,2.97,24.75
C,Pasar Loak/Sedayu - Karang Menjangan PP,58,51,13,13,13,2,24.13952381,12.0697619,12,3.3036,27.53
BJ,Benowo - Kalimas PP,101,70,26,26,26,2,24.73142857,12.36571429,12,2.7732,23.11
D,Joyoboyo - Pasar Turi - Sidorame PP,75,102,100,100,100,2,25,12.5,12,4.1496,34.58
DA,Kalimas Barat - Citra Raya PP,129,23,8,8,8,3,21.17095238,10.58547619,12,5.1328,42.77333333
DP,Kalimas Barat /Petekan - Manukan Kulon PP,123,15,9,9,9,4,15.37952381,7.689761905,12,3.9468,32.89
E,Petojo-Sawahan/Simo Rukun/Balongsari PP,103,26,5,5,5,2,22.11619048,11.05809524,12,4.2852,35.71
F,Endrosono - Joyoboyo PP,61,91,55,55,55,2,25.77857143,12.88928571,12,4.0188,33.49
G,Joyoboyo - Karang Menjangan/Karang Pilang/Lakarsantri PP,73,99,86,86,86,3,22.76380952,11.38190476,12,5.332,44.43333333
GL,Pasar Loak - Gadung PP,129,17,2,2,2,2,14.63666667,7.318333333,12,3.876,32.3
GS,Gunung Anyar - Sidorame PP,107,5,0,0,0,3,18.23428571,9.117142857,12,3.7908,31.59
H.2,Pasar Wonokromo - Pagesangan PP,47,1,0,0,0,2,21.18619048,10.59309524,12,3.1932,26.61
H.2P,Pasar Wonokromo - Terminal Menanggal PP,55,5,1,1,1,3,33.70571429,16.85285714,12,3.7716,31.43
I,Dukuh Kupang - Benowo PP,59,51,33,33,33,2,25.31142857,12.65571429,12,3.906,32.55
IM,Benowo - Simokerto PP,62,3,0,0,0,2,27.91904762,13.95952381,12,3.3492,27.91
J,Joyoboyo - Kalianak PP,124,18,8,8,8,2,31.43,15.715,12,4.1544,34.62
JBMN,Joyoboyo - Gunung Anyar PP,60,2,1,1,1,1,28.08333333,14.04166667,12,3.0024,25.02
JMK,Kenjeran - Kalimas Barat PP,77,5,1,1,1,2,24.51714286,12.25857143,12,3.8292,31.91
JTK,Joyoboyo - Tambak Klangri PP,95,1,0,0,0,1,20.16857143,10.08428571,12,4.36,36.33333333
JTK.2,Joyoboyo - Medokan Ayu PP,86,17,1,1,1,3,29.38809524,14.69404762,12,4.128,34.4
K,Ujung Baru - Kalimas Barat - Pasar Loak PP,51,63,19,19,19,2,22.46238095,11.23119048,12,3.726,31.05
L.2,Ujung Baru - Sasak - Petojo PP,56,39,0,0,0,3,29.99904762,14.99952381,12,3.084,25.7
LK,Manukan Kulon - Pasar Loak -Kenjeran PP,66,28,3,3,3,2,25.47047619,12.7352381,12,3.6096,30.08
LMJ,Lakarsantri -Manukan Kulon - Kalimas Barat PP,82,72,36,36,36,2,30.60714286,15.30357143,12,4.2504,35.42
M,Terminal Joyoboyo - Dinoyo - Kayun - Kalimas Barat PP,62,55,24,24,24,2,26.96238095,13.48119048,12,3.858,32.15
N,Kalimas Barat - Menur - Bratang PP,47,54,26,26,26,2,29.70190476,14.85095238,12,4.85,40.41666667
O,Kalimas Barat - Keputih PP,69,31,8,8,8,2,33.88761905,16.94380952,12,4.76,39.66666667
TWM,Tambak Wedi - Petojo - Keputih PP,98,2,1,1,1,2,26.72761905,13.36380952,12,3.888,32.4
O.2 (WK),Tambak Oso Wilangon - Petojo - Keputih PP,75,27,25,25,25,2,21.18285714,10.59142857,12,4.3728,36.44
P,Joyoboyo - Kenjeran/Petojo/Ketintang PP,127,71,58,58,58,3,26.13619048,13.06809524,12,5.7224,47.68666667
Q,Kalimas Barat - Bratang PP,81,46,6,6,6,2,23.46714286,11.73357143,12,3.3576,27.98
R,Kalimas Barat - Kapasan - Kenjeran PP,59,44,26,26,26,3,25.78285714,12.89142857,12,4.0764,33.97
R.1,Kalimas Barat - Nambangan - Kenjeran PP,86,37,11,11,11,2,30.73714286,15.36857143,12,3.4716,28.93
R.2,Kalimas Barat - Teluk Langsa -Kenjeran PP,79,3,2,2,2,1,32.80238095,16.40119048,12,3.65,30.41666667
RBK,Rungkut Barat - Kenjeran PP,91,4,0,0,0,2,25.27761905,12.63880952,12,3.22,26.83333333
